#{"t_start": 1681309872.803986, "env_id": "Walker2d-v2"}
r,l,t
-1.435503,12,1.44804
2.259287,13,1.458789
-7.399109,19,1.474324
-2.676362,22,1.491837
2.714973,15,1.505298
-5.245398,8,1.511881
-7.894162,13,1.521829
-3.597075,14,1.532739
-1.60048,17,1.54602
-3.56228,8,1.552517
-7.490084,21,1.568837
0.466464,41,1.600101
-0.009902,10,1.607764
-1.559034,15,1.619179
-4.749543,12,1.628219
3.525756,24,1.64655
-3.211328,9,1.653376
-2.881671,11,1.661895
0.739565,14,1.672532
5.247503,18,1.68609
-1.168673,23,1.704369
-3.35822,13,1.714825
0.722317,16,1.727652
2.966837,19,1.742571
-1.991721,23,1.760879
1.93106,13,1.771265
-0.238894,10,1.779167
-2.305704,13,1.789483
-2.431606,12,1.799078
-1.150736,11,1.808132
10.002187,31,1.832456
1.297744,11,1.841126
-3.600405,13,1.85138
-0.523017,16,1.864003
2.837209,19,1.878992
-7.573351,18,1.893463
2.585835,15,1.905375
0.517828,12,1.914768
-10.933357,14,1.925793
3.905259,14,1.93674
14.356482,25,1.956731
-5.160207,20,1.972965
0.008364,18,1.987117
-1.183464,15,1.998887
0.582441,27,2.019793
-3.825117,16,2.032224
-1.528607,10,2.040129
6.707255,19,2.055281
-3.647408,18,2.069565
-3.063021,15,2.081293
-3.346851,25,2.100991
-2.026891,17,2.114408
5.379775,25,2.133995
-0.132286,17,2.147382
0.164419,13,2.157682
3.007151,28,2.179514
1.501542,40,2.210967
-0.470081,11,2.219785
5.022732,22,2.236968
-0.992114,9,2.244112
0.082177,12,2.253646
-1.096431,11,2.26233
-1.219931,10,2.270193
11.576067,30,2.293649
-0.93615,26,2.314157
2.611858,23,2.332135
4.536688,39,2.362267
-1.468516,15,2.374379
-0.716231,12,2.384327
-4.560226,9,2.392351
-2.807033,10,2.400218
-6.480555,15,2.411963
-2.6032,10,2.419784
-4.625752,15,2.431856
0.012562,10,2.439888
-5.847287,14,2.45141
1.848525,23,2.469574
-3.664338,32,2.495268
6.380855,25,2.514943
-4.512432,11,2.523646
1.441897,13,2.533796
1.283148,17,2.54749
-4.101446,9,2.55513
-3.847527,36,2.583226
-0.649306,14,2.594475
-7.698342,16,2.6071
-5.651055,24,2.625818
-3.855594,22,2.642991
3.457531,18,2.657101
-1.733613,17,2.670459
-0.496205,10,2.67915
-2.099984,10,2.687129
-4.107172,26,2.707701
-3.312856,13,2.718106
-7.813406,16,2.731852
-3.244405,10,2.7397
12.660601,28,2.761019
-6.455576,26,2.781315
-5.681667,11,2.790483
-5.323099,14,2.802277
0.864803,14,2.813476
-4.681911,16,2.826155
2.20893,23,2.844069
-1.631514,11,2.852454
-3.568673,23,2.87127
-1.818321,14,2.882357
3.529838,22,2.899969
15.182183,28,2.921735
-8.52111,24,2.94084
2.034913,32,2.967113
3.535799,28,2.989796
2.936384,20,3.005617
-5.812516,9,3.012701
3.728338,17,3.026321
5.613326,19,3.041445
-8.62544,15,3.053411
-0.783556,14,3.60537
9.009234,23,3.626098
-1.480798,24,3.646802
-11.800326,28,3.668661
0.900301,34,3.696633
-4.178916,29,3.719267
1.946582,24,3.73825
5.190117,16,3.750829
4.711822,19,3.766379
-2.589762,9,3.773751
-2.938766,9,3.781099
-2.904472,15,3.79296
-0.259172,10,3.800848
-2.009194,12,3.810416
-1.685606,25,3.83045
-0.519781,25,3.850192
-3.166688,19,3.865155
-4.156214,13,3.875314
3.410593,25,3.894866
2.538399,27,3.916612
1.630439,17,3.930109
0.183178,13,3.940804
-0.10515,11,3.949494
-7.036665,21,3.965984
-3.70428,13,3.976976
-3.899822,30,4.00052
5.921743,31,4.024773
4.330927,35,4.052109
-2.334464,14,4.063326
-4.992119,12,4.07298
-3.257298,18,4.087011
-2.664292,13,4.097125
5.877703,21,4.113721
-4.73411,21,4.130045
-2.722885,15,4.142265
-4.987808,11,4.150981
8.707766,27,4.172009
-0.452522,17,4.185311
-0.014462,13,4.19581
-2.369423,18,4.209995
7.150824,20,4.22579
-0.241243,12,4.235365
5.498458,20,4.251162
0.952972,14,4.262187
-6.956284,23,4.280072
4.094792,19,4.294859
3.057429,19,4.309745
0.52183,16,4.322452
0.194469,36,4.350464
2.132283,16,4.363026
0.538421,14,4.374018
-4.197271,11,4.384002
-0.167763,11,4.393228
12.902086,29,4.41777
-3.576887,12,4.426905
-9.832624,21,4.442992
-5.774814,30,4.465781
-3.165299,17,4.479224
-1.724656,12,4.488961
-1.525893,12,4.498492
3.235789,30,4.522348
28.166599,43,4.556647
3.407669,14,4.5677
-2.333336,29,4.590706
-0.654501,19,4.606103
0.820703,11,4.614839
-4.055172,22,4.632724
19.090686,32,4.660525
-2.973255,18,4.675117
1.120216,30,4.698952
-3.428692,18,4.713382
1.169985,20,4.728947
-2.229545,15,4.740882
-1.105151,11,4.749442
-3.89118,19,4.764428
0.52906,15,4.776272
11.21352,29,4.798669
-1.100093,26,4.818764
-3.74614,13,4.828938
-3.291333,9,4.836285
-0.732157,12,4.845642
-7.208494,9,4.852881
-0.923649,16,4.865282
-2.638385,11,4.87414
-10.554676,19,4.888868
12.259056,21,4.905316
1.329294,13,4.915452
-1.13594,15,4.927313
-2.600441,12,4.936799
1.084425,14,4.947861
-3.507062,10,4.956139
4.241312,32,4.980991
-2.680748,11,4.989474
-3.639515,15,5.001327
-0.965098,49,5.040281
-1.657318,15,5.052132
1.123588,18,5.066267
21.874482,27,5.087498
-6.58071,17,5.100726
3.126087,21,5.117253
-2.491358,11,5.125697
-2.289668,11,5.134449
9.833218,31,5.159032
-3.302185,8,5.165526
8.749359,26,5.185877
1.051055,18,5.199997
-2.268851,12,5.209577
-0.641922,32,5.403715
-2.225621,23,5.43109
-1.373386,10,5.441933
-0.398155,23,5.461869
-8.124821,18,5.476988
-2.155782,9,5.486485
6.475812,17,5.502895
-6.831834,35,5.540224
2.576354,23,5.564503
0.356403,14,5.584083
-4.005045,8,5.596309
3.479484,15,5.614854
15.130727,28,5.651499
1.470742,19,5.675543
4.950222,17,5.694673
-2.930856,9,5.702391
-5.863685,26,5.734732
3.480705,28,5.768576
-4.646006,9,5.777338
3.661769,22,5.80448
-8.152073,9,5.814804
3.434413,27,5.851115
-2.236731,22,5.877391
3.700681,19,5.902313
-1.774144,10,5.916043
-0.599814,27,5.947019
-2.674086,12,5.960596
9.730073,26,5.982347
-3.292638,14,5.995359
2.986852,13,6.012993
1.434333,15,6.026521
1.574482,16,6.04174
0.428729,18,6.06512
5.176733,17,6.087483
2.456817,18,6.109773
-6.381533,15,6.127481
-2.008481,18,6.15081
7.618915,25,6.174548
1.317975,16,6.190724
4.742874,15,6.210101
-2.899478,20,6.23963
-7.148697,13,6.256995
-0.560673,13,6.276531
-3.243898,12,6.293134
0.276985,22,6.313121
1.842804,29,6.347089
-1.327291,24,6.369492
-5.736244,21,6.391033
-0.788523,16,6.417365
7.126888,22,6.452198
-2.516196,18,6.478687
0.823079,15,6.494999
2.316997,25,6.53093
-3.082484,10,6.546087
11.015941,25,6.589214
-1.789956,11,6.605702
-3.032855,12,6.6234
-4.114057,21,6.654059
3.744329,21,6.682203
3.668456,47,6.745374
2.694053,24,6.770526
3.554871,26,6.797722
-1.660803,23,6.822367
1.775657,37,6.866664
0.266209,21,6.900375
3.076937,24,6.939759
12.233039,38,6.985383
-1.755586,13,7.001451
0.649866,19,7.030524
-2.150886,15,7.054835
2.770083,16,7.079773
2.336187,12,7.098682
-0.835328,14,7.120832
-4.97867,32,7.167799
7.742528,18,7.189626
-0.428524,11,7.207215
-9.124672,17,7.230012
-3.387992,8,7.240947
2.512444,15,7.263096
-3.623286,12,7.280384
-1.576925,14,7.300721
-7.351667,17,7.327639
-1.296224,14,7.342314
1.480106,17,7.358592
-4.828831,30,7.393611
-2.327685,25,7.416888
-3.392864,8,7.425842
3.316077,21,7.454981
-12.479847,18,7.471703
-0.937926,9,7.479784
-2.228857,30,7.514806
-6.118801,18,7.539404
6.207225,23,7.569051
-4.368117,19,7.597137
-0.881753,9,7.612029
0.814868,16,7.636082
9.606455,31,7.680461
-0.881298,17,7.702041
0.330831,28,7.744369
-0.853714,14,7.764647
1.413329,19,7.7857
-5.4084,13,7.797631
-3.6768,11,7.814516
1.93816,17,7.832268
-3.536788,12,7.843474
-1.087457,33,7.874371
-2.51737,10,7.883314
-3.673971,9,7.891029
-3.641077,16,7.905225
0.488693,15,7.917338
-2.838254,8,7.924047
-2.555579,20,8.101865
11.797826,24,8.125741
-0.060059,19,8.145686
0.289506,11,8.159834
0.245983,20,8.182323
4.05918,18,8.202053
3.028487,15,8.216799
0.626665,12,8.227504
4.662662,37,8.256687
15.642916,27,8.277457
5.44777,27,8.298494
3.636475,17,8.312418
-2.699277,11,8.320942
7.646287,21,8.340203
-4.658881,11,8.349691
8.707424,31,8.376312
-3.754116,14,8.387741
-2.553621,18,8.403095
-1.556476,9,8.4119
-1.423652,27,8.444067
-1.627541,9,8.454741
1.785144,26,8.485604
3.058487,25,8.511705
-1.516273,21,8.532594
-1.771761,11,8.54167
-1.862894,10,8.549405
-0.873751,12,8.559101
0.616538,13,8.572486
-3.646426,17,8.58821
0.11985,27,8.614475
0.060312,21,8.632303
0.557034,18,8.646585
3.059694,13,8.657523
-0.317635,9,8.664447
-8.745913,14,8.675624
-2.940575,11,8.684045
7.854886,25,8.703437
-1.696622,14,8.714267
-4.178792,31,8.737844
3.402079,17,8.751094
-6.885769,10,8.75919
3.849209,20,8.774839
-0.073023,15,8.786709
0.661712,23,8.805589
6.08209,25,8.825452
15.22994,26,8.846347
5.694463,16,8.859355
-5.90793,45,8.895956
-2.499197,12,8.905244
7.714895,27,8.930833
2.475279,17,8.944136
-0.734943,22,8.961609
3.546662,14,8.972773
-4.474612,21,8.989314
1.258619,12,8.998773
-2.765515,8,9.005498
-3.994342,28,9.029053
-2.983692,20,9.044777
-1.831974,9,9.051966
-2.234923,17,9.065713
0.02989,36,9.094297
14.046925,25,9.114513
1.054756,13,9.124691
-1.914751,12,9.134126
1.30235,13,9.144774
0.647353,17,9.158183
-9.290594,9,9.165156
-2.992309,14,9.176628
-0.151812,16,9.189839
-2.103871,15,9.202293
-9.909112,15,9.214567
2.873768,14,9.226185
2.117151,19,9.241809
-0.762281,14,9.252932
3.975393,15,9.264719
-10.022187,17,9.278499
6.032738,18,9.293016
1.190261,12,9.303615
1.354249,14,9.314918
-2.666505,10,9.323109
-7.620501,17,9.336388
1.319574,13,9.346617
-1.431696,8,9.353152
13.54405,44,9.387774
12.251946,24,9.40694
7.525023,23,9.429074
-6.522434,16,9.441821
-5.706585,16,9.45472
0.546434,19,9.470396
9.789443,32,9.495705
8.21145,23,9.513477
-2.191431,10,9.521671
6.14977,18,9.535581
7.398671,23,9.553941
-4.14985,12,9.563406
10.961484,27,9.587905
-2.158007,11,9.597608
-4.215585,10,9.605573
12.628829,24,9.624716
0.313163,11,9.633595
-2.322596,24,9.652322
2.818052,24,9.67328
-2.055862,17,9.687183
0.333095,11,9.696001
-3.39313,8,9.702528
-3.271643,8,9.708949
-3.689026,10,9.716897
0.339494,18,9.731053
5.145601,29,9.754356
-2.629394,8,9.760772
6.123995,18,9.775058
-1.077662,14,9.786041
-3.48381,30,9.80971
-1.103434,24,10.004366
2.953501,18,10.019128
-7.585037,21,10.036923
7.847501,28,10.066363
10.767871,51,10.109087
-2.761573,21,10.125005
-12.013523,20,10.140654
6.94977,31,10.165232
7.786488,29,10.187729
-1.412868,17,10.201005
2.451116,15,10.212744
-1.461126,15,10.224331
-3.093597,17,10.2372
2.839426,14,10.247885
2.631981,13,10.257917
-0.076776,14,10.26852
5.003433,26,10.289561
-1.456715,25,10.308915
5.64052,16,10.320853
5.592284,25,10.339682
3.601627,13,10.349538
-3.060642,8,10.35587
-5.485426,15,10.367647
7.381976,25,10.388564
10.052385,32,10.413456
-5.256078,15,10.425215
-3.53014,10,10.433123
12.002483,28,10.45512
-4.661955,19,10.474609
-4.799301,18,10.488577
8.95917,37,10.517132
-7.421427,25,10.536461
-2.336728,11,10.545082
0.084593,17,10.558566
-2.761329,18,10.573476
22.553728,46,10.609227
-3.406815,19,10.623832
4.350956,15,10.635144
6.985507,17,10.648185
-3.576411,9,10.655966
0.4418,12,10.66558
11.573906,23,10.684038
-0.290226,21,10.700607
2.514943,29,10.724038
-0.670983,28,10.746032
-3.697801,11,10.755772
-1.42531,9,10.763007
-0.963302,15,10.775255
-3.049798,15,10.786889
-6.147649,13,10.79691
-0.982665,15,10.808361
2.904303,27,10.828746
0.366234,15,10.840142
3.072017,26,10.860082
8.001762,22,10.876802
-0.101071,11,10.885017
4.939402,28,10.90621
2.837829,16,10.918295
0.539549,14,10.928665
5.942543,23,10.946649
-5.083493,22,10.964061
0.644286,29,10.986457
0.396338,21,11.0032
-0.445986,13,11.013545
-0.866004,10,11.021496
7.470834,28,11.042903
-1.592183,23,11.061213
3.832426,12,11.071095
-11.616824,15,11.083121
0.995406,23,11.100935
-3.350392,21,11.117493
0.857825,17,11.130992
-3.035727,9,11.138346
-3.971138,22,11.155228
-3.444083,16,11.167288
-0.200203,13,11.177402
-4.803337,21,11.193364
-1.435267,18,11.207135
-7.92217,13,11.217
-3.985449,13,11.226692
-4.092828,9,11.233753
4.066087,14,11.244365
8.602655,31,11.26785
8.275386,27,11.288215
-1.466795,48,11.323716
-3.806645,10,11.331238
1.947098,22,11.347767
9.83478,25,11.366342
5.758104,19,11.380814
13.264193,38,11.409571
-0.862757,14,11.420045
2.432481,20,11.435167
-1.752481,18,11.448799
10.326953,24,11.466811
-4.868952,16,11.478893
-1.334896,22,11.495498
-1.391951,15,11.506837
1.718792,13,11.516624
4.082482,13,11.526443
3.829479,19,11.541034
7.890866,21,11.557015
0.050394,25,11.575861
-0.872046,13,11.58567
16.528467,31,11.782004
7.371946,32,11.807423
0.935392,10,11.81551
-3.743664,13,11.825659
15.089128,44,11.86144
3.211473,20,11.877583
6.796045,18,11.891674
1.951136,16,11.904167
-0.224038,17,11.917938
-4.62166,20,11.934597
6.377097,24,11.953435
7.352293,35,11.980701
-1.888135,9,11.987693
2.929771,15,11.999505
-6.705184,15,12.011317
0.824257,17,12.02533
-0.932255,18,12.039755
0.001978,14,12.051052
11.166097,31,12.075801
2.523998,15,12.087676
-5.788418,14,12.09845
5.681036,15,12.112284
-6.859315,19,12.131271
4.945776,18,12.145535
2.277958,16,12.157845
0.019292,25,12.176174
14.009341,31,12.198688
14.628514,27,12.219815
-7.621726,19,12.234578
-0.047215,20,12.253117
-5.481579,21,12.27069
1.6914,13,12.281151
-4.02693,9,12.288311
0.973191,19,12.302404
14.049366,39,12.332575
0.026741,16,12.345058
-2.771556,9,12.35172
-2.465613,9,12.35903
2.62212,19,12.374603
-2.01933,21,12.39213
1.309076,11,12.400824
0.082014,16,12.414189
-4.674123,13,12.424316
0.670952,21,12.441236
-1.571426,10,12.449839
6.044396,21,12.46734
1.88299,14,12.478107
4.178094,41,12.509067
-0.10872,12,12.518506
1.829157,18,12.532784
-11.513306,22,12.550367
5.540838,21,12.567103
-5.262169,21,12.584056
6.33545,18,12.598421
29.841041,43,12.632041
8.216432,21,12.649077
-7.603505,12,12.662271
-3.848216,14,12.67576
5.169758,19,12.690324
-2.035526,16,12.707332
3.73926,26,12.730005
-1.437282,20,12.746613
8.873457,21,12.76332
7.484472,31,12.788046
0.63949,14,12.799111
7.130185,19,12.81453
6.39253,16,12.827402
3.813237,19,12.84246
-1.35603,11,12.851166
2.620901,21,12.868253
2.7633,16,12.881101
-2.502466,8,12.887998
-0.607057,11,12.896881
-5.852959,8,12.903426
1.686739,15,12.915096
1.408201,13,12.925963
-4.985584,24,12.945887
10.386706,30,12.972635
5.064789,38,13.002227
-1.872708,10,13.010323
1.327541,16,13.023178
7.445841,24,13.04225
0.195364,10,13.050473
-3.090367,10,13.059207
1.525302,13,13.069845
0.599968,12,13.080373
-1.929125,12,13.090046
0.823944,19,13.106175
1.838861,21,13.123393
1.575466,26,13.144125
-1.109822,13,13.15527
6.549261,35,13.183203
-0.26857,20,13.19852
-1.813727,12,13.207889
0.848084,19,13.222711
12.131164,40,13.253969
13.50292,36,13.284365
7.267016,24,13.305379
-2.260472,11,13.314356
-6.229141,18,13.329954
6.795659,31,13.355818
-3.549289,22,13.375053
-4.601346,10,13.382804
7.435539,28,13.405051
-2.032981,21,13.421565
-2.765823,13,13.431952
-2.160255,19,13.619623
-0.12034,16,13.632688
5.037868,19,13.648024
3.190756,28,13.669852
1.161053,17,13.683278
1.454816,20,13.698826
-1.745588,13,13.709103
15.013819,26,13.729289
-2.157091,17,13.742797
1.389837,12,13.752843
2.875863,18,13.767085
3.17328,18,13.78132
-10.974938,17,13.794993
-1.980262,7,13.800754
3.455683,20,13.816811
-1.681223,10,13.824661
-2.374777,14,13.835713
-1.989608,12,13.84536
2.818998,12,13.854912
-1.437196,9,13.862299
2.728139,31,13.888808
-5.224249,20,13.904028
5.577,21,13.920716
-4.831325,34,13.94694
-5.0969,12,13.956067
0.112017,11,13.964872
4.38955,19,13.980936
11.981654,27,14.00229
-4.650367,7,14.008054
3.567769,15,14.019864
15.473788,33,14.046349
1.84226,12,14.055806
8.804921,26,14.076123
-0.49469,15,14.088175
2.333251,14,14.099113
2.596902,15,14.110931
-3.90857,30,14.134996
-5.781828,14,14.146192
16.331186,47,14.182819
7.879073,32,14.207934
1.515516,11,14.216501
0.216043,15,14.228275
-2.190741,15,14.240026
-3.983867,18,14.254086
14.061519,31,14.278291
-2.416145,10,14.286275
-1.913728,9,14.293525
-0.053732,14,14.304496
-0.754589,17,14.317836
2.400246,29,14.340744
0.651451,11,14.349527
-4.061326,12,14.359016
-2.665052,11,14.367722
7.204496,22,14.38507
2.580225,24,14.404315
8.673653,33,14.430241
-1.034808,16,14.44297
1.285212,16,14.455897
2.479872,14,14.467495
1.213888,11,14.476124
0.300822,12,14.485569
2.650095,22,14.502743
-1.751526,10,14.511298
5.155682,16,14.525252
0.097507,32,14.550573
-2.919651,7,14.556251
-2.664814,19,14.572005
-10.404332,14,14.589693
-1.267512,20,14.613496
9.732499,29,14.643957
3.418216,22,14.664914
1.907316,15,14.682348
-2.122583,19,14.703919
4.408512,20,14.726923
10.141802,37,14.759845
-1.303263,11,14.768391
-0.346674,18,14.781603
-0.375251,11,14.789997
1.711533,14,14.800433
1.069728,12,14.809615
-6.094235,20,14.825568
2.776343,16,14.838307
2.703349,25,14.85772
2.081594,16,14.870437
4.096911,18,14.884754
-8.511593,14,14.895931
-3.94096,19,14.91077
-6.239851,9,14.918022
6.556347,25,14.938479
-4.756613,17,14.951924
-4.817724,12,14.961801
4.780782,16,14.974418
2.767051,21,14.991017
-2.297062,19,15.007699
-5.174515,16,15.020563
0.544594,26,15.041126
3.22875,16,15.053986
-0.297598,12,15.063479
-0.107054,23,15.081674
7.001119,42,15.116443
3.991283,14,15.127657
5.485228,19,15.142776
2.558842,23,15.162423
6.343546,22,15.179571
4.123993,17,15.193324
-7.733367,12,15.203174
-2.082491,10,15.211233
-2.751593,13,15.221898
8.053001,31,15.250591
-3.557991,9,15.258183
5.992482,22,15.276327
10.716559,33,15.472756
-2.736146,10,15.480747
0.268668,12,15.490222
7.166142,20,15.505575
3.925698,17,15.518471
-0.980124,13,15.528862
3.44575,14,15.540158
0.159167,19,15.558414
-4.053067,18,15.57262
-0.28566,11,15.581387
15.779542,35,15.608955
9.723636,33,15.634717
5.209045,29,15.656635
40.002904,47,15.691935
-9.63748,25,15.710679
-9.543733,21,15.726256
1.56232,16,15.738255
6.230322,36,15.77161
7.517083,22,15.788882
-2.954626,10,15.79711
-1.476622,10,15.805459
-2.726235,11,15.814137
-2.278782,19,15.829783
-1.189315,20,15.845478
-0.987997,17,15.861723
-0.484732,16,15.874843
1.184074,10,15.882745
-1.075543,17,15.89777
0.234483,20,15.914783
8.617199,29,15.946867
5.575977,29,15.978795
5.271324,21,15.995077
4.336277,16,16.008554
1.936216,13,16.021721
-3.690097,14,16.036829
5.700089,28,16.067258
-3.459656,20,16.083623
-0.472698,15,16.095202
-5.694437,11,16.103512
-1.824365,12,16.113348
0.779274,12,16.122362
6.205235,21,16.13898
10.967549,37,16.166145
-1.963933,16,16.17981
-3.488034,33,16.218116
-0.056976,18,16.232207
-5.864537,9,16.239629
7.232328,16,16.252177
11.028089,29,16.275058
9.043067,55,16.318435
-0.218624,11,16.326983
0.52583,19,16.341143
2.284725,17,16.353642
4.633055,24,16.371829
1.600562,14,16.383068
4.763293,46,16.41902
11.46357,39,16.448882
14.195854,55,16.490946
0.559578,16,16.504376
-2.000889,16,16.519079
-0.204586,16,16.531729
1.07001,19,16.546453
5.672237,23,16.564435
-2.509594,15,16.576805
7.902756,18,16.591056
0.706941,27,16.615586
-0.618673,10,16.623669
4.412023,20,16.639615
-0.717982,18,16.655998
7.574607,33,16.681935
16.635308,33,16.708014
5.852147,17,16.721456
1.945274,15,16.733134
2.634274,11,16.741782
0.637826,13,16.751661
3.999761,24,16.769556
3.0844,14,16.780385
7.319097,17,16.793594
-8.153288,12,16.802565
-0.126954,12,16.812527
-0.792183,13,16.823341
0.069249,25,16.842851
6.409965,22,16.860218
0.206125,30,16.883176
2.667309,16,16.895192
2.481601,17,16.908901
4.962779,24,16.930639
7.578764,19,16.946217
12.056999,25,16.966335
0.331053,19,16.981506
3.73117,16,17.001814
3.183631,24,17.022696
-0.428364,15,17.034086
5.801634,23,17.052223
6.692036,29,17.074762
-2.981739,8,17.081263
5.547049,15,17.092651
-0.380126,15,17.10361
-6.868657,18,17.117665
-0.121318,11,17.126773
-2.097883,20,17.142504
1.609177,39,17.359935
32.275394,41,17.3924
0.89668,13,17.402704
-8.867793,14,17.414087
14.960028,34,17.441933
2.587587,24,17.460374
13.757847,32,17.48491
5.459548,17,17.497979
-6.10701,26,17.517653
1.924971,11,17.526102
12.258191,24,17.544233
1.796379,12,17.553505
13.311278,27,17.574093
27.99787,50,17.612324
28.582018,73,17.668485
-3.36684,15,17.680386
3.921377,20,17.696016
0.535224,23,17.714012
4.472518,30,17.736808
1.28784,24,17.755115
2.697361,12,17.764287
-2.084068,9,17.77122
7.345132,22,17.78732
0.22371,20,17.802379
3.979433,17,17.814877
0.413463,16,17.826286
2.247916,14,17.836498
-2.910308,16,17.8491
5.910657,32,17.874098
3.033155,25,17.894528
2.37103,12,17.904159
-8.187584,18,17.918315
-2.350028,13,17.928869
15.845549,46,17.965043
17.090445,35,17.992927
5.567057,18,18.00692
-7.145639,11,18.015591
6.889288,19,18.031128
16.708179,31,18.055489
-1.805852,10,18.06337
10.257533,22,18.080719
-2.667506,12,18.090298
2.287556,13,18.100492
28.593631,37,18.129671
1.943146,14,18.141005
-7.638076,23,18.158958
11.172797,31,18.1834
0.744292,14,18.194562
-0.791483,31,18.219121
-0.537322,18,18.233294
-2.447477,12,18.243223
1.12166,10,18.251064
15.069454,36,18.279798
-0.489999,13,18.290153
19.839492,47,18.327154
6.191554,16,18.34007
6.944011,19,18.354764
10.824034,21,18.371138
9.042484,30,18.393689
-1.58677,24,18.412015
4.237219,19,18.426431
4.061158,26,18.446223
16.737658,36,18.473392
12.22249,33,18.498403
0.264219,22,18.515231
-6.784555,15,18.526823
6.38213,24,18.545602
3.174404,14,18.556655
17.541028,38,18.58634
-2.223818,12,18.595873
2.780442,17,18.609025
0.828591,17,18.622088
6.178323,20,18.63704
1.041401,15,18.647799
8.996114,22,18.663975
23.770403,36,18.690375
-1.597475,23,18.706887
1.339971,12,18.715344
-4.140645,19,18.732993
13.888764,24,18.757726
-1.298938,13,18.772299
3.104069,20,18.78957
7.72618,25,18.810615
5.398142,19,18.825747
8.679076,26,18.850567
6.358857,16,18.867771
-0.812259,16,18.881877
5.25915,22,18.899973
3.525881,27,18.920622
3.707018,24,18.939808
7.010696,24,19.112335
12.195882,33,19.13872
-5.709207,14,19.149298
-6.777629,11,19.158368
6.050145,17,19.171613
5.015271,28,19.193249
-1.252708,9,19.200399
-3.153727,17,19.213404
8.841846,30,19.236632
6.414322,21,19.252973
3.027996,14,19.265821
11.763654,30,19.290259
5.449258,18,19.306553
7.488833,20,19.324683
12.271754,29,19.348096
13.158117,37,19.378422
0.437359,15,19.391211
4.276677,23,19.409823
2.108912,16,19.422795
6.00038,20,19.438666
7.718863,23,19.457027
-3.139131,16,19.470107
3.482458,17,19.483391
15.369902,42,19.516925
9.580348,26,19.537548
12.313099,35,19.565238
-1.87084,26,19.585973
9.295092,44,19.620402
-4.996139,15,19.631754
2.53722,13,19.641963
3.934932,32,19.666247
13.476872,38,19.69541
3.951116,14,19.706769
52.066294,70,19.761227
8.218518,32,19.786593
0.493104,20,19.803241
-1.220293,20,19.819607
-0.98605,15,19.83154
4.110812,14,19.843077
3.083515,22,19.86077
7.055186,24,19.87965
22.216911,58,19.92551
8.204986,27,19.946252
1.721125,22,19.964018
6.5336,36,19.992652
-0.02326,19,20.007918
-2.3526,14,20.019237
7.803651,25,20.040917
-1.500579,11,20.049486
42.580655,60,20.097013
12.221398,28,20.119217
5.475045,17,20.133236
6.005898,16,20.145871
4.424136,21,20.16258
3.086725,15,20.174535
